geo_lor_planungsraum_id,Planungsraum,Verdrängungsdruck,Prekarität,Miethöhe
08020625,Handwerker-Siedlung,unsichere Datenlage,mittel,unsichere Datenlage
08020726,Buckow West,unterdurchschnittlich,unterdurchschnittlich,unterdurchschnittlich
08020727,Buckow Mitte,unterdurchschnittlich,mittel,unterdurchschnittlich
08020728,Buckow Ost,mittel,hoch,unterdurchschnittlich
08030829,Gropiusstadt Nord,hoch,sehr hoch,unterdurchschnittlich
08030830,Gropiusstadt Süd,hoch,sehr hoch,unterdurchschnittlich
08030831,Gropiusstadt Ost,hoch,sehr hoch,unterdurchschnittlich
08040932,Goldhähnchenweg,unsichere Datenlage,hoch,unsichere Datenlage
08040933,Vogelviertel Süd,unterdurchschnittlich,unterdurchschnittlich,unterdurchschnittlich
08040934,Vogelviertel Nord,unsichere Datenlage,mittel,unsichere Datenlage
08041035,Blumenviertel,unterdurchschnittlich,unterdurchschnittlich,unterdurchschnittlich
08041036,Zittauer Straße,unsichere Datenlage,unterdurchschnittlich,unsichere Datenlage
08041037,Alt-Rudow,unterdurchschnittlich,unterdurchschnittlich,unterdurchschnittlich
08041038,Waßmannsdorfer Chaussee,unsichere Datenlage,unterdurchschnittlich,unsichere Datenlage
08041039,Frauenviertel,unterdurchschnittlich,unterdurchschnittlich,unterdurchschnittlich
08041040,Waltersdorfer Chaussee Ost,unterdurchschnittlich,unterdurchschnittlich,unterdurchschnittlich
09010101,Elsenstraße,sehr hoch,mittel,sehr hoch
09010102,Am Treptower Park Nord,unsichere Datenlage,unsichere Datenlage,unsichere Datenlage
09010201,Am Treptower Park Süd,unsichere Datenlage,unterdurchschnittlich,unsichere Datenlage
09010202,Köpenicker Landstraße,mittel,mittel,unterdurchschnittlich
09010301,Baumschulenstraße,unterdurchschnittlich,mittel,unterdurchschnittlich
09010302,Späthsfelde,unsichere Datenlage,unterdurchschnittlich,unsichere Datenlage
09010401,Johannisthal West,unterdurchschnittlich,unterdurchschnittlich,mittel
09010402,Johannisthal Ost,unterdurchschnittlich,unterdurchschnittlich,unterdurchschnittlich
09020501,Oberschöneweide West,sehr hoch,sehr hoch,mittel
09020502,Oberschöneweide Ost,mittel,hoch,unterdurchschnittlich
09020601,Schnellerstraße,mittel,mittel,unterdurchschnittlich
09020602,Oberspree,unsichere Datenlage,unterdurchschnittlich,unsichere Datenlage
09020701,Adlershof West,unterdurchschnittlich,unterdurchschnittlich,unterdurchschnittlich
09020702,Adlershof Ost,unterdurchschnittlich,mittel,unterdurchschnittlich
09020801,Spindlersfeld,unterdurchschnittlich,unterdurchschnittlich,unterdurchschnittlich
09020802,Köllnische Vorstadt,mittel,hoch,unterdurchschnittlich
09030901,Dorf Altglienicke,unterdurchschnittlich,unterdurchschnittlich,unterdurchschnittlich
09030902,Wohngebiet II,unsichere Datenlage,sehr hoch,unsichere Datenlage
09030903,Kölner Viertel,unterdurchschnittlich,unterdurchschnittlich,unterdurchschnittlich
09031001,Bohnsdorf,unterdurchschnittlich,unterdurchschnittlich,unterdurchschnittlich
09031101,Grünau,unterdurchschnittlich,unterdurchschnittlich,hoch
09031201,Karolinenhof,unsichere Datenlage,unterdurchschnittlich,unsichere Datenlage
09031202,Schmöckwitz/Rauchfangswerder,unsichere Datenlage,unterdurchschnittlich,unsichere Datenlage
09041301,Kietzer Feld/Nachtheide,unterdurchschnittlich,unterdurchschnittlich,unterdurchschnittlich
09041302,Wendenschloß,unterdurchschnittlich,unterdurchschnittlich,unterdurchschnittlich
09041401,Allende I,unterdurchschnittlich,unterdurchschnittlich,unterdurchschnittlich
