geo_lor_planungsraum_id,Planungsraum,Verdrängungsdruck,Prekarität,Miethöhe
03071638,Winsstraße,unterdurchschnittlich,unterdurchschnittlich,hoch
03071639,Bötzowstraße,unterdurchschnittlich,unterdurchschnittlich,sehr hoch
04010101,Jungfernheide,hoch,sehr hoch,unterdurchschnittlich
04010103,Paul-Hertz-Siedlung,hoch,sehr hoch,unterdurchschnittlich
04020204,Olympiagelände,unsichere Datenlage,unsichere Datenlage,unsichere Datenlage
04020205,Siedlung Ruhleben,unsichere Datenlage,unterdurchschnittlich,unsichere Datenlage
04020206,Angerburger Allee,unterdurchschnittlich,unterdurchschnittlich,unterdurchschnittlich
04020207,Flatowallee,unterdurchschnittlich,unterdurchschnittlich,hoch
04020208,Kranzallee,unterdurchschnittlich,unterdurchschnittlich,hoch
04020209,Eichkamp,unsichere Datenlage,unsichere Datenlage,unsichere Datenlage
04020310,Park Ruhwald,unsichere Datenlage,unterdurchschnittlich,unsichere Datenlage
04020311,Reichsstraße,unterdurchschnittlich,unterdurchschnittlich,hoch
04020312,Branitzer Platz,unterdurchschnittlich,unterdurchschnittlich,hoch
04020313,Königin-Elisabeth-Straße,unterdurchschnittlich,mittel,mittel
04020314,Messegelände,unsichere Datenlage,unsichere Datenlage,unsichere Datenlage
04030415,Schloßgarten,sehr hoch,sehr hoch,sehr hoch
04030416,Klausenerplatz,mittel,hoch,mittel
04030417,Schloßstraße,unterdurchschnittlich,unterdurchschnittlich,hoch
04030518,Tegeler Weg,hoch,hoch,hoch
04030519,Kaiserin-Augusta-Allee,hoch,hoch,hoch
04030620,Alt-Lietzow,unterdurchschnittlich,mittel,hoch
04030621,Spreestadt,sehr hoch,hoch,sehr hoch
04030622,Richard-Wagner-Straße,hoch,mittel,hoch
04030623,Ernst-Reuter-Platz,sehr hoch,hoch,sehr hoch
04030724,Lietzensee,unterdurchschnittlich,unterdurchschnittlich,sehr hoch
04030725,Amtsgerichtsplatz,unterdurchschnittlich,unterdurchschnittlich,sehr hoch
04030726,Droysenstraße,unterdurchschnittlich,unterdurchschnittlich,sehr hoch
04030827,Karl-August-Platz,hoch,mittel,hoch
04030828,Savignyplatz,unterdurchschnittlich,unterdurchschnittlich,sehr hoch
04030929,Hindemithplatz,unterdurchschnittlich,unterdurchschnittlich,sehr hoch
04030930,George-Grosz-Platz,unterdurchschnittlich,unterdurchschnittlich,sehr hoch
04030931,Breitscheidplatz,unterdurchschnittlich,unterdurchschnittlich,sehr hoch
04031032,Halensee,unterdurchschnittlich,unterdurchschnittlich,sehr hoch
04041133,Güterbahnhof Grunewald,unsichere Datenlage,unsichere Datenlage,unsichere Datenlage
04041134,Bismarckallee,unterdurchschnittlich,unterdurchschnittlich,sehr hoch
04041135,Hundekehle,unterdurchschnittlich,unterdurchschnittlich,sehr hoch
04041136,Hagenplatz,unterdurchschnittlich,unterdurchschnittlich,sehr hoch
04041137,Flinsberger Platz,unterdurchschnittlich,unterdurchschnittlich,hoch
04041238,Kissinger Straße,unterdurchschnittlich,unterdurchschnittlich,hoch
04041239,Stadion Wilmersdorf,unsichere Datenlage,unsichere Datenlage,unsichere Datenlage
04041240,Messelpark,unsichere Datenlage,unterdurchschnittlich,unsichere Datenlage
04041241,Breite Straße,unterdurchschnittlich,unterdurchschnittlich,mittel
04041342,Schlangenbader Straße,mittel,mittel,unterdurchschnittlich
04041343,Binger Straße,unterdurchschnittlich,unterdurchschnittlich,mittel
04041344,Rüdesheimer Platz,unterdurchschnittlich,unterdurchschnittlich,mittel
04051445,Eisenzahnstraße,hoch,mittel,hoch
04051446,Preußenpark,unterdurchschnittlich,unterdurchschnittlich,sehr hoch
04051447,Ludwigkirchplatz,unterdurchschnittlich,unterdurchschnittlich,sehr hoch
04051448,Schaperstraße,unterdurchschnittlich,mittel,sehr hoch
04051549,Rathaus Wilmersdorf,unterdurchschnittlich,unterdurchschnittlich,hoch
04051550,Leon-Jessel-Platz,unterdurchschnittlich,unterdurchschnittlich,hoch
04051551,Brabanter Platz,unterdurchschnittlich,mittel,mittel
04051652,Nikolsburger Platz,unterdurchschnittlich,unterdurchschnittlich,hoch
04051653,Prager Platz,unterdurchschnittlich,unterdurchschnittlich,hoch
04051654,Wilhelmsaue,unterdurchschnittlich,unterdurchschnittlich,hoch
04051655,Babelsberger Straße,unterdurchschnittlich,mittel,sehr hoch
04051656,Hildegardstraße,unterdurchschnittlich,unterdurchschnittlich,mittel
04061757,Forst Grunewald,unsichere Datenlage,unsichere Datenlage,unsichere Datenlage
05010101,Hakenfelde Nord,unterdurchschnittlich,mittel,unterdurchschnittlich
05010102,Goltzstraße,mittel,hoch,unterdurchschnittlich
05010103,Amorbacher Weg,unterdurchschnittlich,mittel,unterdurchschnittlich
05010204,Griesingerstraße,hoch,sehr hoch,unterdurchschnittlich
05010205,An der Tränke,unterdurchschnittlich,unterdurchschnittlich,mittel
05010206,Gütersloher Weg,hoch,sehr hoch,unterdurchschnittlich
05010207,Darbystraße,hoch,sehr hoch,unterdurchschnittlich
05010208,Germersheimer Platz,sehr hoch,sehr hoch,unterdurchschnittlich
05010209,An der Kappe,unterdurchschnittlich,unterdurchschnittlich,unterdurchschnittlich
05010310,Eckschanze,hoch,sehr hoch,unterdurchschnittlich
05010311,Eiswerder,sehr hoch,sehr hoch,unterdurchschnittlich
05010312,Kurstraße,sehr hoch,sehr hoch,unterdurchschnittlich
05010313,Ackerstraße,hoch,sehr hoch,unterdurchschnittlich
05010314,Carl-Schurz-Straße,mittel,hoch,unterdurchschnittlich
05010339,Freiheit,unsichere Datenlage,hoch,unsichere Datenlage
05020415,Isenburger Weg,unsichere Datenlage,unterdurchschnittlich,unsichere Datenlage
05020416,Am Heideberg,unsichere Datenlage,unterdurchschnittlich,unsichere Datenlage
05020417,Staakener Straße,unterdurchschnittlich,unterdurchschnittlich,unterdurchschnittlich
05020418,Spandauer Straße,unterdurchschnittlich,mittel,unterdurchschnittlich
05020419,Magistratsweg,hoch,sehr hoch,unterdurchschnittlich
05020420,Werkstraße,unsichere Datenlage,unterdurchschnittlich,unsichere Datenlage
05020521,Döberitzer Weg,unterdurchschnittlich,unterdurchschnittlich,unterdurchschnittlich
05020522,Pillnitzer Weg,sehr hoch,sehr hoch,unterdurchschnittlich
05020523,Maulbeerallee,sehr hoch,sehr hoch,unterdurchschnittlich
05020524,Weinmeisterhornweg,unterdurchschnittlich,unterdurchschnittlich,unterdurchschnittlich
05020625,Borkumer Straße,mittel,hoch,unterdurchschnittlich
05020626,Adamstraße,mittel,hoch,unterdurchschnittlich
05020627,Tiefwerder,hoch,sehr hoch,unterdurchschnittlich
05020628,Graetschelsteig,unterdurchschnittlich,mittel,unterdurchschnittlich
05020629,Börnicker Straße,unterdurchschnittlich,unterdurchschnittlich,unterdurchschnittlich
05030730,Zitadellenweg,unterdurchschnittlich,unterdurchschnittlich,unterdurchschnittlich
05030731,Gartenfelder Straße,hoch,sehr hoch,unterdurchschnittlich
05030832,Rohrdamm,hoch,hoch,unterdurchschnittlich
05030833,Motardstraße,unsichere Datenlage,unterdurchschnittlich,unsichere Datenlage
05040934,Alt-Gatow,unsichere Datenlage,unterdurchschnittlich,unsichere Datenlage
05040935,Groß-Glienicker Weg,unsichere Datenlage,mittel,unsichere Datenlage
05040936,Jägerallee,unterdurchschnittlich,unterdurchschnittlich,unterdurchschnittlich
05040937,Kladower Damm,unsichere Datenlage,unterdurchschnittlich,unsichere Datenlage
05040938,Kafkastraße,unsichere Datenlage,unterdurchschnittlich,unsichere Datenlage
06010101,Fichtenberg,unterdurchschnittlich,unterdurchschnittlich,hoch
06010102,Schloßstraße,unterdurchschnittlich,unterdurchschnittlich,mittel
06010103,Markelstraße,unterdurchschnittlich,unterdurchschnittlich,mittel
06010204,Munsterdamm,unterdurchschnittlich,unterdurchschnittlich,unterdurchschnittlich
06010205,Südende,unterdurchschnittlich,unterdurchschnittlich,unterdurchschnittlich
06010206,Stadtpark,unterdurchschnittlich,unterdurchschnittlich,mittel
06010207,Mittelstraße,unterdurchschnittlich,mittel,mittel
06010208,Bergstraße,unterdurchschnittlich,unterdurchschnittlich,unterdurchschnittlich
06010209,Feuerbachstraße,unterdurchschnittlich,unterdurchschnittlich,mittel
06010210,Bismarckstraße,unterdurchschnittlich,mittel,unterdurchschnittlich
06020301,Alt-Lankwitz,unterdurchschnittlich,unterdurchschnittlich,unterdurchschnittlich
06020302,Komponistenviertel Lankwitz,unterdurchschnittlich,unterdurchschnittlich,unterdurchschnittlich
06020303,Lankwitz Kirche,mittel,mittel,unterdurchschnittlich
06020304,Kaiser-Wilhelm-Straße,mittel,mittel,unterdurchschnittlich
06020305,Gemeindepark Lankwitz,mittel,mittel,unterdurchschnittlich
06020306,Lankwitz Süd,unterdurchschnittlich,unterdurchschnittlich,unterdurchschnittlich
